,Temperature,Humidity,Wind Speed,Precipitation (%),Atmospheric Pressure,UV Index,Visibility (km),cloud_cover_code,season_code,location_code,weather_code
11683,15.0,89,16.0,51.0,1019.08,2,4.5,3,2,2,1
1917,-1.0,99,12.5,65.0,992.26,0,4.0,2,3,2,2
2064,44.0,105,15.5,92.0,1027.02,6,11.5,0,1,1,3
1665,22.0,51,7.0,27.0,1014.24,3,5.0,3,0,1,0
2004,65.0,108,24.5,101.0,1004.05,10,2.5,2,1,2,1
4759,25.0,30,2.5,12.0,1021.61,9,6.0,0,1,0,3
5404,22.0,40,3.5,16.0,1013.41,8,7.5,0,0,1,3
10606,21.0,62,4.5,30.0,1017.66,3,7.0,2,0,1,0
5472,24.0,86,23.0,102.0,1002.71,7,1.5,2,2,0,1
3661,42.0,32,9.0,17.0,1027.31,8,7.5,0,2,0,3
4020,36.0,34,1.5,3.0,1013.55,6,5.5,3,0,2,3
8503,22.0,81,17.0,83.0,1014.86,1,1.5,2,3,1,1
5414,2.0,70,18.0,79.0,990.08,1,2.0,2,3,1,2
5729,2.0,81,17.5,58.0,982.65,1,5.0,3,3,1,2
3247,-4.0,34,11.0,42.0,1150.77,8,15.0,2,2,1,2
3947,-1.0,76,4.5,101.0,989.38,13,2.0,2,3,2,2
7346,-4.0,83,3.5,62.0,999.56,1,3.5,2,3,2,2
488,23.0,63,3.0,18.0,1024.52,5,8.0,0,3,1,3
8582,2.0,65,4.0,75.0,990.41,1,2.5,2,3,1,2
11594,-12.0,64,14.5,39.0,978.38,9,5.0,2,2,1,2
5669,16.0,71,3.0,104.0,1009.56,9,5.5,3,1,0,0
3147,26.0,80,19.0,84.0,1002.79,2,4.0,2,2,2,1
6707,21.0,26,12.5,12.0,1008.41,2,19.0,2,0,2,3
3417,-1.0,96,3.5,76.0,980.9,0,4.0,3,3,1,2
6427,44.0,55,0.5,18.0,1020.67,8,7.0,0,0,2,3
1102,29.0,63,8.5,9.0,1018.05,9,7.0,0,1,0,3
2782,16.0,78,5.0,40.0,1018.58,3,7.5,3,2,1,0
5358,-5.0,72,14.5,76.0,994.11,1,3.0,3,3,2,2
1971,27.0,28,6.5,15.0,1024.17,10,8.0,3,3,0,3
7014,-3.0,85,17.0,58.0,991.2,1,5.0,3,3,2,2
7995,26.0,47,1.0,0.0,1020.91,11,9.0,0,2,2,3
3012,13.0,98,9.0,55.0,1001.88,1,3.5,2,2,0,1
9102,-6.0,72,36.0,92.0,980.76,0,2.5,2,3,2,2
5105,-8.0,79,20.0,96.0,993.02,1,3.0,2,3,2,2
8755,18.0,77,6.0,53.0,995.27,2,3.0,2,3,1,1
4576,12.0,89,14.5,74.0,995.19,1,1.5,2,2,1,1
480,2.0,80,16.0,77.0,996.19,4,1.5,2,3,2,2
7594,29.0,41,1.0,18.0,1021.9,7,6.0,0,1,2,3
2792,18.0,76,8.0,32.0,1003.73,2,8.0,3,1,2,0
4810,24.0,70,6.0,43.0,1003.91,1,8.5,3,2,1,0
8922,-7.0,75,5.0,97.0,992.62,1,2.5,2,3,1,2
6488,27.0,81,19.5,79.0,1006.48,2,4.0,2,0,2,1
946,15.0,78,16.0,105.0,993.73,10,0.5,2,0,1,1
11843,29.0,47,3.0,17.0,1022.38,9,5.0,3,3,2,3
11845,37.0,104,29.0,82.0,991.94,2,6.5,2,2,2,1
10803,10.0,64,18.0,65.0,1015.3,0,2.5,2,3,0,1
