,Temperature,Humidity,Wind Speed,Precipitation (%),Atmospheric Pressure,UV Index,Visibility (km),cloud_cover_code,season_code,location_code,weather_code
6536,-6.0,88,6.5,92.0,993.17,1,4.0,3,3,1,2
3838,2.0,82,18.5,73.0,992.97,0,3.5,3,3,1,2
4891,36.0,72,27.5,85.0,1005.35,1,8.0,2,3,2,0
2179,-7.0,93,11.5,79.0,993.93,0,3.5,2,3,1,2
4521,28.0,36,9.5,16.0,1010.85,8,7.5,3,2,2,3
5842,18.0,72,8.0,69.0,1001.85,0,2.0,2,3,0,1
7971,32.0,51,11.0,17.0,1008.63,1,7.5,3,3,1,0
11502,2.0,104,2.0,98.0,985.89,11,1.0,3,3,2,2
1250,18.0,63,5.0,24.0,1005.59,4,8.0,3,3,1,0
9551,17.0,67,17.0,52.0,990.87,1,3.5,2,2,2,1
8838,21.0,97,12.0,94.0,1014.88,1,4.5,2,3,1,1
3769,13.0,84,15.0,70.0,996.59,3,4.0,3,2,0,1
6847,42.0,67,8.5,0.0,1016.96,6,6.0,0,2,1,3
912,32.0,49,2.5,9.0,1012.59,7,5.0,0,2,1,3
8056,10.0,73,13.5,44.0,1004.37,2,6.5,3,0,0,0
7425,21.0,61,9.5,35.0,1016.75,3,8.5,3,1,2,0
12064,23.0,37,5.0,7.0,1014.42,7,7.0,0,1,2,3
4355,25.0,67,7.0,12.0,1017.84,11,8.5,0,1,2,3
10920,23.0,72,10.0,94.0,1019.95,2,2.0,3,0,0,1
9176,-8.0,84,4.5,89.0,988.37,0,2.5,2,3,2,2
4053,-1.0,78,7.0,86.0,985.74,5,1.0,2,3,1,2
4499,34.0,56,5.0,0.0,1015.38,11,9.0,0,1,0,3
9346,18.0,67,7.0,10.0,1003.56,2,7.0,3,3,2,0
7532,22.0,79,10.5,67.0,997.99,2,2.0,2,1,1,1
863,10.0,73,10.5,49.0,1010.36,1,5.5,2,3,1,0
9500,24.0,99,16.0,50.0,992.97,2,2.5,3,0,0,1
10257,32.0,77,7.5,53.0,1016.29,0,1.5,2,3,1,1
6534,25.0,55,8.0,14.0,1019.5,3,8.0,2,1,0,0
6755,21.0,58,4.0,36.0,1014.12,2,8.5,2,2,2,0
11413,34.0,60,1.0,10.0,1016.38,7,6.0,3,0,1,3
2348,24.0,91,21.5,91.0,1008.4,11,3.5,2,1,2,1
7872,15.0,66,7.0,94.0,871.72,5,19.5,1,3,2,3
6173,26.0,27,6.0,18.0,1024.09,5,6.0,0,0,2,3
11120,12.0,97,7.0,79.0,1013.7,1,2.0,2,2,1,1
6500,-7.0,99,21.5,88.0,990.26,14,1.5,2,3,1,2
11509,30.0,91,15.5,70.0,999.97,0,3.5,2,2,1,1
